user_id,basket_id,event_time,abandond,discount,,
562224271,13011,2019-12-01 08:32:00,0,0,2019-12-01 08:32:00,2019-12-01 08:32:00
479204796,13012,2019-12-01 08:33:00,0,0,2019-12-01 08:33:00,2019-12-01 08:33:00
372654204,13013,2019-12-01 08:34:00,0,0,2019-12-01 08:34:00,2019-12-01 08:34:00
308409464,13015,2019-12-01 08:34:00,0,0,2019-12-01 08:34:00,2019-12-01 08:34:00
579900325,13016,2019-12-01 08:36:00,0,0.1,2019-12-01 08:36:00,2019-12-01 08:36:00
406868405,13017,2019-12-01 08:38:00,1,0.1,2019-12-01 08:38:00,2019-12-01 08:38:00
421017024,13018,2019-12-01 08:41:00,0,0,2019-12-01 08:41:00,2019-12-01 08:41:00
544379067,13019,2019-12-01 08:46:00,1,0.1,2019-12-01 08:46:00,2019-12-01 08:46:00
476613717,13020,2019-12-01 08:46:00,0,0,2019-12-01 08:46:00,2019-12-01 08:46:00
569593049,13021,2019-12-01 08:46:00,0,0,2019-12-01 08:46:00,2019-12-01 08:46:00
492360827,13022,2019-12-01 08:47:00,0,0,2019-12-01 08:47:00,2019-12-01 08:47:00
324847035,13023,2019-12-01 08:47:00,0,0,2019-12-01 08:47:00,2019-12-01 08:47:00
580118887,13024,2019-12-01 08:49:00,0,0,2019-12-01 08:49:00,2019-12-01 08:49:00
534779173,13025,2019-12-01 08:49:00,0,0,2019-12-01 08:49:00,2019-12-01 08:49:00
578875487,13026,2019-12-01 08:53:00,1,0.25,2019-12-01 08:53:00,2019-12-01 08:53:00
338927162,13029,2019-12-01 08:57:00,0,0,2019-12-01 08:57:00,2019-12-01 08:57:00
506885505,13030,2019-12-01 08:57:00,0,0.5,2019-12-01 08:57:00,2019-12-01 08:57:00
562257008,13031,2019-12-01 08:58:00,0,0,2019-12-01 08:58:00,2019-12-01 08:58:00
474156561,13032,2019-12-01 09:01:00,1,0,2019-12-01 09:01:00,2019-12-01 09:01:00
580124187,13035,2019-12-01 09:05:00,0,0,2019-12-01 09:05:00,2019-12-01 09:05:00
527448720,13036,2019-12-01 09:06:00,0,0,2019-12-01 09:06:00,2019-12-01 09:06:00
568331285,13037,2019-12-01 09:07:00,0,0,2019-12-01 09:07:00,2019-12-01 09:07:00
407389821,13038,2019-12-01 09:10:00,1,0,2019-12-01 09:10:00,2019-12-01 09:10:00
528539896,13039,2019-12-01 09:14:00,0,0.5,2019-12-01 09:14:00,2019-12-01 09:14:00
579428829,13040,2019-12-01 09:16:00,1,0.1,2019-12-01 09:16:00,2019-12-01 09:16:00
386704542,13041,2019-12-01 09:16:00,1,0.25,2019-12-01 09:16:00,2019-12-01 09:16:00
472747206,13044,2019-12-01 09:21:00,0,0.15,2019-12-01 09:21:00,2019-12-01 09:21:00
513828797,13047,2019-12-01 09:26:00,0,0,2019-12-01 09:26:00,2019-12-01 09:26:00
580127566,13048,2019-12-01 09:26:00,0,0,2019-12-01 09:26:00,2019-12-01 09:26:00
557045148,13049,2019-12-01 09:33:00,0,0,2019-12-01 09:33:00,2019-12-01 09:33:00
428138604,13050,2019-12-01 09:36:00,0,0,2019-12-01 09:36:00,2019-12-01 09:36:00
230818653,13051,2019-12-01 09:38:00,0,0,2019-12-01 09:38:00,2019-12-01 09:38:00
470598515,13052,2019-12-01 09:38:00,0,0,2019-12-01 09:38:00,2019-12-01 09:38:00
418417206,13053,2019-12-01 09:41:00,0,0,2019-12-01 09:41:00,2019-12-01 09:41:00
528772942,13055,2019-12-01 09:48:00,1,0,2019-12-01 09:48:00,2019-12-01 09:48:00
552903610,13056,2019-12-01 09:49:00,1,0.1,2019-12-01 09:49:00,2019-12-01 09:49:00
534143009,13057,2019-12-01 09:52:00,1,0,2019-12-01 09:52:00,2019-12-01 09:52:00
530670290,13058,2019-12-01 09:52:00,1,0.1,2019-12-01 09:52:00,2019-12-01 09:52:00
417524988,13059,2019-12-01 09:53:00,1,0,2019-12-01 09:53:00,2019-12-01 09:53:00
580096835,13060,2019-12-01 09:54:00,1,0,2019-12-01 09:54:00,2019-12-01 09:54:00
545514646,13061,2019-12-01 09:55:00,0,0,2019-12-01 09:55:00,2019-12-01 09:55:00
570401269,13062,2019-12-01 09:57:00,0,0,2019-12-01 09:57:00,2019-12-01 09:57:00
453148546,13063,2019-12-01 09:58:00,0,0.1,2019-12-01 09:58:00,2019-12-01 09:58:00
580170588,13064,2019-12-01 10:00:00,0,0,2019-12-01 10:00:00,2019-12-01 10:00:00
580174518,13068,2019-12-01 10:08:00,0,0,2019-12-01 10:08:00,2019-12-01 10:08:00
430146135,13069,2019-12-01 10:08:00,1,0,2019-12-01 10:08:00,2019-12-01 10:08:00
442939729,13071,2019-12-01 10:16:00,0,0,2019-12-01 10:16:00,2019-12-01 10:16:00
564319813,13072,2019-12-01 10:16:00,0,0,2019-12-01 10:16:00,2019-12-01 10:16:00
345005035,13073,2019-12-01 10:20:00,0,0,2019-12-01 10:20:00,2019-12-01 10:20:00
579751441,13074,2019-12-01 10:20:00,0,0.5,2019-12-01 10:20:00,2019-12-01 10:20:00
580168326,13075,2019-12-01 10:21:00,0,0,2019-12-01 10:21:00,2019-12-01 10:21:00
446506364,13076,2019-12-01 10:21:00,0,0,2019-12-01 10:21:00,2019-12-01 10:21:00
151188116,13077,2019-12-01 10:23:00,0,0,2019-12-01 10:23:00,2019-12-01 10:23:00
413003398,13078,2019-12-01 10:24:00,0,0,2019-12-01 10:24:00,2019-12-01 10:24:00
460066512,13079,2019-12-01 10:24:00,0,0.25,2019-12-01 10:24:00,2019-12-01 10:24:00
548778991,13080,2019-12-01 10:25:00,1,0,2019-12-01 10:25:00,2019-12-01 10:25:00
72062431,13081,2019-12-01 10:25:00,0,0.25,2019-12-01 10:25:00,2019-12-01 10:25:00
483272639,13082,2019-12-01 10:25:00,0,0,2019-12-01 10:25:00,2019-12-01 10:25:00
502942288,13083,2019-12-01 10:26:00,0,0,2019-12-01 10:26:00,2019-12-01 10:26:00
379444781,13084,2019-12-01 10:27:00,0,0.15,2019-12-01 10:27:00,2019-12-01 10:27:00
205826083,13085,2019-12-01 10:29:00,0,0,2019-12-01 10:29:00,2019-12-01 10:29:00
